Date,DownstateNY_Bench,NorthNJ_Bench,UpstateNY_Bench,NY_Bench,NJ_Bench,PR_Bench,VI_Bench,NYC_Bench,LongIsland_Bench,PtnmRcklndWstchtr_Bench,Poughkeepsie_Bench,Kingston_Bench,BrgnHdsnPassc_Bench,NewBrunswick_Bench,Newark_Bench,Albany_Bench,Binghamton_Bench,Buffalo_Bench,Elmira_Bench,GlensFalls_Bench,Ithaca_Bench,Rochester_Bench,Syracuse_Bench,Utica_Bench,Watertown_Bench
11/30/2011,6003361.4514,2827241.8034,2219876.9583,8738822.5081,3859433.5322,931306.43397,43097.5072,3873273.9704,1255577.397,563224.6202,251864.99003,59420.473733,872211.32403,993108.86045,961921.61897,435478.60542,107909.95602,541416.50922,38953.199723,55117.994656,54311.677633,507664.05313,309606.89864,127270.14589,42147.91793
12/31/2011,6008878.8829,2828890.1798,2222143.8262,8740667.9573,3862214.6798,926698.61992,42806.261617,3877454.4749,1255882.0988,563339.33238,252625.50441,59577.47242,872258.07317,995153.24245,961478.86417,435971.80525,107562.25913,541932.13267,39248.146002,55303.128417,54350.442578,508595.56901,309829.70296,127253.87469,42096.765449
01/31/2012,6033479.7401,2833810.0424,2224967.0107,8767830.3434,3874729.0777,933610.00764,42511.057326,3890708.1394,1267223.7017,563268.4187,252366.66339,59912.81684,872603.16811,997874.64897,963332.22534,437669.03434,107641.34865,543304.27131,39069.235449,55025.280973,54581.077474,507823.63505,309840.08693,128089.27183,41923.768707
02/29/2012,6052785.9173,2841988.0233,2228621.8659,8792429.7139,3882815.6522,932078.28716,42136.793644,3903688.1279,1271717.7792,565030.40572,252813.85992,59535.744559,876430.35895,1001159.8589,964397.80551,438098.91972,107778.62222,545357.82342,39222.725469,55314.016165,54530.73062,508314.40658,310437.30629,127593.13885,41974.176548
03/31/2012,6066088.1947,2852244.2229,2230616.8328,8810334.4004,3892923.3068,932815.46995,41863.382574,3914866.7059,1273111.1609,565890.60335,252434.23581,59785.488809,880817.95399,1004734.886,966691.38293,438547.85438,108014.86926,545356.62585,39024.349108,55321.154297,54544.758147,509296.17906,310861.44598,127631.84237,42017.754391
04/30/2012,6054647.1918,2832139.5563,2225704.8449,8794765.9974,3879741.5073,938859.6229,41704.391107,3915933.5462,1264024.4192,563930.38261,251665.48401,59093.359844,874153.4886,998299.38456,959686.68318,439763.81083,107623.60754,543420.924,39239.725638,55295.176868,54434.310026,506937.85087,310090.01533,126939.47852,41959.94528
05/31/2012,6072220.0426,2838372.4954,2229025.3217,8815962.6527,3883771.0088,937598.931,40063.239937,3931902.9426,1265513.0113,564633.1813,251194.32843,58976.578947,876996.09799,1000979.5118,960396.8856,439770.97504,107551.14236,544043.68017,39169.10943,55546.408739,54755.813586,508644.30793,310561.5951,127004.94539,41977.343912
06/30/2012,6078659.9104,2848188.6361,2230709.1654,8816952.005,3893301.1286,943139.76134,40079.851995,3936049.0574,1268083.119,563405.5073,252112.99294,59009.23375,880412.22921,1005416.2026,962360.20434,439908.65918,107181.51581,544110.96007,39171.666771,55920.740805,54400.695734,509136.10451,311078.41414,127644.10142,42156.306924
07/31/2012,6063228.3684,2836785.8829,2227040.3498,8795066.9458,3883370.7699,942245.76857,39694.410365,3923277.7321,1266199.0676,563555.61454,251216.63347,58979.320664,872916.59334,1003319.0148,960550.27479,439228.26327,106950.7456,543253.37047,39197.43199,55886.457579,54846.831579,508552.48239,310262.84668,127139.92485,41721.995361
08/31/2012,6084103.4506,2845198.6542,2228145.8039,8824694.8366,3890901.2982,944117.12455,39449.87805,3940554.1819,1267424.5469,565470.63542,251921.21075,58732.875756,876542.36723,1005187.8091,963468.47785,440310.21549,106490.7471,544176.99544,39260.463405,55704.764365,54893.758382,507364.33611,311149.51706,126945.64816,41849.358408
